Gillen Atom Trap Ramp Controller
START TIME: 16:22:40 03-03-2026
16:22:40 03-03-2026	Attempting to connect ramp on port COM7 with baud rate 9600
16:22:42 03-03-2026	Ramp successfully connected on port COM7
16:22:42 03-03-2026	Attempting to connect DAVLL on port COM4 with baud rate 115200
16:23:54 03-03-2026	RAMP START: 0,DAVLL: [],[],
16:23:54 03-03-2026	Target Resistance: 12850 Target Current: 80
16:23:55 03-03-2026	Actual Resistance: 12832.3 Actual Current: 79.9213
16:23:55 03-03-2026	RAMP START: 0,DAVLL: [],[],
16:23:55 03-03-2026	RAMP START: 0,DAVLL: [],[],
16:23:55 03-03-2026	Target Resistance: 12850 Target Current: 80
16:23:56 03-03-2026	Actual Resistance: 12832.2 Actual Current: 79.92150000000001
16:23:56 03-03-2026	RAMP START: 0,DAVLL: [],[],
16:23:56 03-03-2026	RAMP START: 0,DAVLL: [],[],
16:23:56 03-03-2026	Target Resistance: 12850 Target Current: 80
16:23:57 03-03-2026	Actual Resistance: 12832.1 Actual Current: 79.9218
16:23:57 03-03-2026	RAMP START: 0,DAVLL: [],[],
16:23:57 03-03-2026	RAMP START: 0,DAVLL: [],[],
16:23:57 03-03-2026	Target Resistance: 12850 Target Current: 80
16:23:58 03-03-2026	Actual Resistance: 12832.0 Actual Current: 79.92150000000001
16:23:58 03-03-2026	RAMP START: 0,DAVLL: [],[],
